T_max,disp_max,sigma_vm_max,J_in,h_conv,mat_left,mat_right
311.20044654705544,2.152493272263734e-06,3546513.650951266,3000000.0,5,Ni,Fe
308.80258134161704,1.6840555110567181e-06,3089343.4707899825,3000000.0,5,Ni,Ni
301.58670374890073,5.689354909828506e-07,367552.6421892415,3000000.0,10,Al,Al
300.8575541078302,3.8411976481061335e-07,242884.16192864638,3000000.0,10,Al,Cu
305.15765100655494,2.782851972234206e-06,4403565.064634653,3000000.0,10,Al,Fe
303.8597784121944,1.972644331307765e-06,3116328.181274611,3000000.0,10,Al,Ni
300.8575576943017,3.840669322027278e-07,203641.59529326967,3000000.0,10,Cu,Al
300.4806175048094,1.229287109099718e-07,127553.17923369519,3000000.0,10,Cu,Cu
302.8234543051152,8.101804420191896e-07,1092274.9399527868,3000000.0,10,Cu,Fe
302.07775748890015,5.604371110852666e-07,746843.1612895015,3000000.0,10,Cu,Ni
305.15762484264206,2.7823990181166456e-06,3581882.924671959,3000000.0,10,Fe,Al
302.8234265637524,8.100496242816219e-07,881389.4514501888,3000000.0,10,Fe,Cu
313.62357519716664,2.390702754524332e-06,4172202.8358235727,3000000.0,10,Fe,Fe
311.03424789870064,2.1230191366469305e-06,3735267.880221613,3000000.0,10,Fe,Ni
303.85976174112216,1.97232729111118e-06,2531502.7622720883,3000000.0,10,Ni,Al
302.0777398862789,5.603528182983174e-07,666692.9795828604,3000000.0,10,Ni,Cu
311.03426527878105,2.123239547933512e-06,3506681.1717169527,3000000.0,10,Ni,Fe
308.68001862307926,1.6624079521189366e-06,3056372.8869584543,3000000.0,10,Ni,Ni
301.5473086742325,5.558922790906406e-07,360550.9744524224,3000000.0,30,Al,Al
300.8429352131493,3.783678886870025e-07,238763.77086638068,3000000.0,30,Al,Cu
304.97365313527075,2.6939764306770277e-06,4248345.316262125,3000000.0,30,Al,Fe
303.72686116119706,1.911951060268374e-06,3010188.639976871,3000000.0,30,Al,Ni
300.8429378698751,3.783158959203609e-07,201070.91732754972,3000000.0,30,Cu,Al
300.474557155385,1.214973655956057e-07,126318.05928621037,3000000.0,30,Cu,Cu
302.76180983962485,7.94115366360926e-07,1068780.5883364421,3000000.0,30,Cu,Fe
302.03351247911814,5.496266124394869e-07,735772.2823816162,3000000.0,30,Cu,Ni
304.9736361289574,2.6935382487447524e-06,3455615.7471481925,3000000.0,30,Fe,Al
302.76179180479926,7.939870529882002e-07,862398.0217222192,3000000.0,30,Fe,Cu
312.82108662110863,2.2606845769464752e-06,3984131.570991827,3000000.0,30,Fe,Fe
310.4157764655177,2.013788806238644e-06,3575258.3770123255,3000000.0,30,Fe,Ni
303.7268495959392,1.9116440164947727e-06,2445268.5776535557,3000000.0,30,Ni,Al
302.0334997596974,5.49543890235021e-07,656781.9227424168,3000000.0,30,Ni,Cu
310.4157866818465,2.0139973559850895e-06,3357765.4409692725,3000000.0,30,Ni,Fe
308.2211968092303,1.5812756711347421e-06,2932668.948801888,3000000.0,30,Ni,Ni
301.5097699617024,5.43452434289829e-07,353867.9136103757,3000000.0,50,Al,Al
300.8288015978441,3.7279663805515003e-07,234774.23107657782,3000000.0,50,Al,Cu
304.80222502806953,2.6108428652567645e-06,4103264.7399520976,3000000.0,50,Al,Fe
303.6027005964764,1.8550506768452055e-06,2910753.47969643,3000000.0,50,Al,Ni
300.8288037932815,3.7274545829900076e-07,198579.7556199816,3000000.0,50,Cu,Al
300.46864347131583,1.2010003458662353e-07,125111.82015973215,3000000.0,50,Cu,Cu
302.7028711061918,7.786854814564283e-07,1046224.1930342326,3000000.0,50,Cu,Fe
301.9911461215595,5.392340850268759e-07,725119.5129504501,3000000.0,50,Cu,Ni
304.8022111665323,2.6104184960598617e-06,3337596.24251267,3000000.0,50,Fe,Al
302.7028562207134,7.785595742366593e-07,844164.9465247137,3000000.0,50,Fe,Cu
312.1056453130012,2.144497147936221e-06,3815722.9221867532,3000000.0,50,Fe,Fe
309.86216953749295,1.915577815835955e-06,3431122.3551512114,3000000.0,50,Fe,Ni
303.60269146251085,1.8547530012225425e-06,2364481.2446808373,3000000.0,50,Ni,Al
301.99113589417556,5.391528732470602e-07,647245.176151334,3000000.0,50,Ni,Cu
309.8621769913391,1.9157757097580985e-06,3223619.0116933873,3000000.0,50,Ni,Fe
307.8072699315389,1.5079305671074735e-06,2820636.2643637853,3000000.0,50,Ni,Ni
301.423244136751,5.147321791878436e-07,338416.9327780255,3000000.0,100,Al,Al
300.79543936755607,3.596047636144294e-07,225333.69995852243,3000000.0,100,Al,Cu
304.4208703907099,2.4247357235972234e-06,3778920.0644109324,3000000.0,100,Al,Fe
303.32539232430406,1.7272197740620275e-06,2687649.655690149,3000000.0,100,Al,Ni
300.7954409279324,3.5955550740986223e-07,192676.01257789615,3000000.0,100,Cu,Al
300.4544668666711,1.16747773107895e-07,122216.01045652443,3000000.0,100,Cu,Cu
302.56617641411384,7.426536203969365e-07,993587.631580412,3000000.0,100,Cu,Fe
301.89266299133385,5.149293130884976e-07,700165.118713269,3000000.0,100,Cu,Ni
304.4208610931802,2.424342255890495e-06,3073748.6744002397,3000000.0,100,Fe,Al
302.56616601397633,7.425333348254445e-07,801617.7712495045,3000000.0,100,Fe,Cu
310.6170192779218,1.901724794246167e-06,3462547.1877816343,3000000.0,100,Fe,Fe
308.70195316765376,1.7085166898035125e-06,3126221.806410341,3000000.0,100,Fe,Ni
303.32538621265087,1.7269431300739615e-06,2183216.9986091196,3000000.0,100,Ni,Al
301.8926560409967,5.148516355718201e-07,624905.1084514057,3000000.0,100,Ni,Cu
308.70195751320745,1.7086921515318533e-06,2939836.227107333,3000000.0,100,Ni,Fe
306.9308450250074,1.352051707905159e-06,2581767.05926083,3000000.0,100,Ni,Ni
301.15625418903943,4.2559280097362216e-07,290217.2764937909,3000000.0,300,Al,Al
300.6849280987463,3.154839008899653e-07,195324.608320826,3000000.0,300,Al,Cu
303.35280347167895,1.8939496655885827e-06,2858449.942179232,3000000.0,300,Al,Fe
302.5404110115465,1.359205153734108e-06,2048339.6016282847,3000000.0,300,Al,Ni
300.68492888603106,3.154410578194697e-07,172869.57641300638,3000000.0,300,Cu,Al
300.4052319453634,1.050718841873991e-07,112104.94808661516,3000000.0,300,Cu,Cu
302.1357378568246,6.270646251864088e-07,825160.6911183753,3000000.0,300,Cu,Fe
301.5806801496952,4.3661778334766717e-07,619281.1130100706,3000000.0,300,Cu,Ni
303.35280016571414,1.8936441277380165e-06,2324954.222592797,3000000.0,300,Fe,Al
302.1357331070204,6.269624088301344e-07,693736.8262994551,3000000.0,300,Fe,Cu
307.09104380577685,1.3177175928495145e-06,2601461.2123574214,3000000.0,300,Fe,Fe
305.89987499018133,1.199919458085926e-06,2368074.27167465,3000000.0,300,Fe,Ni
302.5404087843856,1.3589889118869256e-06,1663791.3632981544,3000000.0,300,Ni,Al
301.5806770036957,4.365515179460182e-07,552495.020651104,3000000.0,300,Ni,Cu
305.89987613166807,1.2000401081322038e-06,2234068.450671126,3000000.0,300,Ni,Fe
304.7671180000096,9.619293441147033e-07,1976822.9128103592,3000000.0,300,Ni,Ni
